Title,Original,Generated
The Waterdance,"Sometimes, life happens by accident.",The story of a man with a disability who finds a way to cope.
Apache Rifles,The Cry Was Revenge - And One Man Vowed to Stop the Bloodshed of Two Warring Nations!,They're coming for you...
Captain Horatio Hornblower R.N.,The sun never sets on his world of adventure.,The greatest adventure of all time!
Captivity,When You Think The Worst Has Happened... Think Worse,She was the most feared woman in the world...
Young Sherlock Holmes,"Before a lifetime of adventure, they lived the adventure of a lifetime.",The greatest detective story of all time!
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,"Still Dead, And Now in 3D",The funniest comedy of all time!
Google Me,It all started when i Googled my name.,The story of a man who changed the face of the world.
Gasland,Can you light your water on fire?,The story of America's first fracking revolution
That Thing You Do!,In every life there comes a time when that dream you dream becomes that thing you do.,The story of a band that won the hearts and minds of the country!
Awake,"Every year, one in 700 people wake up during surgery.",Sometimes the only way out is through the pain.
Find Me,Some secrets should stay hidden,"It's not just a game, it's a way of life."
Safe Men,Welcome to the world of disorganised crime.,"A comedy about love, sex, and the power of friendship."
The Greek Tycoon,"She was the most famous woman in the world. He was a peasant, a pirate, a shark. What he couldn't buy with money he stole with charm.",The story of one man's love affair with a beautiful woman.
Bluebird,"Merel, a talented young girl, is suddenly getting bullied at school.",She was born to be a singer.
Race,Two Brothers... One Plays to Win... One Plays to Defeat,The story of two brothers.
A Time for Killing,Two violent men... and a violated woman!,"It's not a war, it's a journey."
The Brave One,How many wrongs to make it right?,Revenge is the only way out.
Smiling Fish & Goat On Fire,"two brothers, four women and the search for Magnetic Perfection","A comedy about love, family, friendship and the power of friendship."
Maximum Ride,Welcome To Her Nightmare,It's not just a flight...
Better Than Chocolate,A delicious romantic comedy.,It's not what you think it is.
Planet of the Vampires,This was the day the universe trembled before the demon forces of the killer planet!,The future is about to be destroyed.
Fearless,Some people are afraid of nothing.,The story of a man who lost everything...
The Silent World,Out of an uncharted universe - comes an experience of unearthly beauty...,An underwater adventure that will change your life forever.
Ten Seconds to Hell,BLOCKBUSTER ABOUT TO EXPLODE!,The story of a man who risked everything to save his country.
A Face in the Crowd,"POWER! He loved it! He took it raw in big gulpfuls...he liked the taste, the way it mixed with the bourbon and the sin in his blood!",He's the only one who can change the world.
"Not For, or Against (Quite the Contrary)",The wrong path is often the best.,The story of one woman's struggle to survive in the face of violence.
Proof,The biggest risk in life is not taking one.,There is no such thing as an ordinary mathematician.
Korengal,This is what war feels like,The story of a war that changed the face of the earth.
Dangerous Money,One of Chan's Most Terrifying Cases!,"He's got a lot of money, but he doesn't know who to trust"
Circus World,John Wayne Wild Across the World!,"A comedy about love, loss, and life in the circus."
The Hippopotamus,A beast of a comedy.,He's the only one who knows what's going on in the world.
Frankenweenie,A comic twist on a classic tail!,He's the best friend you'll ever have...
Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",He's got to be the funniest guy in the room!
About a Boy,One ordinary couple. One little white lie.,He's the perfect guy.
Old Fashioned: The Story of the Wisconsin Supper Club,A new documentary on an old fashioned tradition,This is the story of an institution that changed the way we eat.
The Lady in the Car with Glasses and a Gun,Her first mistake was getting into the car.,She's the only one who knows what she's going to do.
Dead Snow 2: Red vs. Dead,Heads up. They're back.,They're back...
Empire Falls,Every small town has a big story,The story of a small town in the middle of nowhere.
Air Bud: Seventh Inning Fetch,He's A Natural Baseball Player With Major League Talent!,He's got a lot to learn about the game of baseball.
The Yankles,They Came. They Prayed. They Played!,The story of a man who made it his life's mission to be the best
Super Stooges vs the Wonder Women,Three men with supernatural powers interfere in a tribal warfare to prevent evil Amazons destroying the inhabitants of a village.,It's not just a game...
Torture Garden,Do You Dare See What Dr. Diabolo Sees?,"It's not Halloween, but it's a hell of a ride."
The Secret of NIMH,Right before your eyes and beyond your wildest dreams.,The story of a mother's struggle to survive in the face of the world's
The Dukes,"The music was then , the time is now",They were 17.
Field of Dreams,"If you believe the impossible, the incredible can come true.",It's not just a game.
Ferocious Planet,They're Not on Earth Anymore.,"There's no such thing as a normal night."" - Wired.com"
Half Moon Street,"Dr. Lauren Slaughter, professor, emissary, hooker, target.",The story of a woman who became the most powerful woman in the world.
The World Is Not Enough,As the countdown begins for the new millennium there is still one number you can always count on.,The ultimate Bond movie
Life,Be careful what you search for,There's more than one way to get to Mars.
Tracks,His life began a dead end.,"The story of two young men, one white and one black."
The Carey Treatment,Peter Carey M.D.: arrives from the coast - finds hypocrisy in a big Boston hospital - and a brilliant surgeon accused of abortion that turns to murder.,"It's not what you think it is, it's how you feel."
Feast,Pet is not just a pet,A love story that will change your life forever.
Bonnie's Kids,They Were Born Innocent ... But They Didn't Stay That Way.,Sometimes the only way to survive is to be yourself.
Virgin Witch,Every man was hers to command,She's the hottest girl on the planet.
Victim,Their future was menaced by the past,He's gay.
The Outlaw Josey Wales,...an army of one.,Vengeance is the only weapon that can stop a man from killing.
Gambling House,Here comes Mature !,The story of a man who risked everything to save his family.
Live Free or Die Hard,The old school cop is back!,The world's most dangerous network is about to get a little hairy.
Octopus 2: River of Fear,Above and below the water there is no escape,It's 4:30 in the morning and you can't sleep.
Ragin Cajun Redneck Gators,Mutant gators take a bite out of the bayou!,You can't kill them all...
The Care Bears Movie,What happens when the world stops caring?,"A comedy about friendship, love, and the power of friendship."
Pretty Persuasion,The devil wears a grey skirt and her name is Kimberly Joyce.,"It's not what you think, it's what happens to you."
Jim Jefferies: I Swear to God,Heaven Help Us,You can't have it both ways.
Farce of the Penguins,What Happens In Antarctica... Stays in Antarctica,"A comedy about love, sex, friendship and everything in between."
Grown Ups,Boys will be boys. . . some longer than others.,Sometimes the best thing about being alive is knowing you're alive.
Hiroshima,"The Horror, the pain and the suffering of Hiroshima!",This is the story of the first atomic bomb test.
The World's End,Good food. Fine ales. Total Annihilation.,"A comedy about friendship, love, and survival."
Sleight,You can change the cards you're dealt,He's got a lot of tricks up his sleeve...
Heart Like a Hand Grenade,The Making of the Album American Idiot,Rock 'n' Roll was born.
The Thief Lord,Magic is just around the corner.,The story of two boys.
The Heartbreak Kid,He waited all his life to get married. Too bad he didn't wait another week.,"A comedy about love, sex and death."
Max Payne,When a Man Has Lost Everything. He Only has Revenge,"It's not murder, it's revenge."
Captain Kidd,Adventure on the high seas!,A story of a man who risked everything to save a ship.
Report to the Commissioner,No One Knew She Was An Undercover Policewoman. Including The Detective Who Killed Her.,She's the only cop in the world who can't get rid of her.
Butch and Sundance: The Early Days,Before the fame when fun was the name of the game.,The story of two brothers.
Hard Eight,"When good luck is a long shot, you have to hedge your bets.","It's not a game, it's a life."
Shades,Drama Comedy,The story of a man who made a movie about serial killers.
Crazy Heart,"The harder the life, the sweeter the song.",The story of a man who changed the face of music forever.
City Hall,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,There's no such thing as a safe place to be.
Time Bomb,Can they... will they... stop that TERROR ON A TRAIN,He's the only one who knows how to detonate a bomb.
The Adderall Diaries,The truth is a motherf_cker.,The story of a man who wrote a book about his life.
"Love, Rosie",Right Love. Wrong Time.,"The story of two friends, one love, and one dream."
The Wolverine,"When he's most vulnerable, he's most dangerous.",The greatest adventure of all time.
How to Lose a Guy in 10 Days,One of them is lying. So is the other.,10 Days.
Smokin' Aces 2: Assassins' Ball,"Prepare for Murder, Mayhem & Madness.",He's got a plan.
The Frozen Ground,The hunter becomes the hunted,The truth is stranger than fiction.
Ballet Shoes,Dreams do come true.,The story of a man who risked everything to save the world.
Matchstick Men,Lie. Cheat. Steal. Rinse. Repeat.,"It's not what you think it is."" -- The Hollywood Reporter"
A Better Tomorrow,Are the police above the law? I'll send my insurance claim to you.,"The story of a man who made a mistake, and now has to face the"
Drive-In Horrorshow,Five Tales of Terror to Quench Your Thirst for Horror,5 Short Films.
State of the Union,How's the State of the Union? It's GREAT!,The story of a man and a woman in a race against time.
Sorrow,Every Good Feeds On Evil,"It's not murder, it's revenge."
My Stepmother is an Alien,Man's closest encounter.,What if you were the only one who could save the world?
Leo the Last,Imagine being the last of anything.,He's back...
Carry On Girls,When it comes to Beauty Queens - It's 'Carry On' and Bust!,A comedy about a woman who won't let anyone get in her way.
Coach,Love is the Goal,It's not just a game.
Devil in a Blue Dress,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.,The story of one man's quest to find the missing woman.
No Time for Comedy,A country boy takes over Broadway . . . until he gets into heart-trouble!,The story of a man who became a Broadway star...
The Youngest Profession,She got their autographs in...,"A comedy about love, marriage and the woman who made it."
J. Edgar,The most powerful man in the world.,The most powerful man in the history of the United States of America.
The Net 2.0,"Foreign Country, No Money, No Identity, Nothing is as it seems ...",IT'S THE MOST FUNNY ADVENTURE YOU'VE EVER SE
Self/less,God Created Man. Man Created Immortality.,"It's not what you think it is, it's how you feel."
Torch Song,Tough Baby - a wonderful love story with the star of,She's got a heart of gold...
Dinoshark,Fear what's below the surface,It's not just a shark.
Amores perros,Love. Betrayal. Death.,The story of three people on the verge of disaster.
White Chicks,They're going deep undercover.,They're the only ones who can save the world from the evil that's been
Aguirre: The Wrath of God,A breathtaking journey into the heart of darkness,The adventure of a lifetime
The Grey Fox,"In 1901, after 33 years in San Quentin Prison, Bill Miner, ""The Gentleman Bandit"", was released into the Twentieth Century.",He's got a new lease on life.
Blood Shack,I Warned Her Not To Go Inside!,The story of one man's quest to find his lost love.
Chaos Theory,This man will bring order to the universe...or not.,Sometimes you have to choose between the good and the bad.
Noel,Miracles are closer than you think,"A comedy about love, friendship, Christmas, love and Christmas."
In Pursuit of Honor,As soldiers they were taught to fight for honor. As men they were willing to die for it.,They're coming for you.
Ax 'Em,It was supposed to be a weekend getaway until the horror began.,Sometimes the only way out is to stay alive.
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",He's got a gun.
Russian Terminator,The Ninja Mission Continued...,The story of one man's quest to save the world from the evil that is
The City Dark,A search for night on a planet that never sleeps,It's not just a movie.
The Protector,Vengeance Knows No Mercy,The story of a man who risked everything to save his family.
Crossfire Trail,A hero is measured by the enemies he makes.,He's got a plan.
Messiah of Evil,Terror you won't want to remember - In a film you won't be able to forget.,"It's not what you see, it's who you trust."
Madhouse,The bad news is you have houseguests. There is no good news.,He's back...
Revenge of the Nerds II: Nerds in Paradise,They're Back!,They're going to have a blast!
Cold Comes the Night,Sometimes the fight of your life comes in the dead of night.,He's got a plan.
Tamara,Revenge has a killer body.,Revenge is the only way out.
Silk,"Come Back, or I Shall Die...",A love story that will change your life forever.
The Dirty Dozen: The Deadly Mission,When it's impossible... send in the Dozen.,The only thing more dangerous than the truth is the lie itself.
Death Valley,Welcome To Death Valley,The road to hell is about to get a whole lot harder.
Angels of Sex,"All beautiful and all in love, but this not heaven...","The story of love, friendship and destiny."
Trail of the Pink Panther,The Newest and Funniest 'Panther' of them all.,"It's not just a diamond, it's a story."
St. Martin's Lane,A Heart-Stirring Drama of Peace-Time London!,"A comedy about love, sex, money, and a little luck."
How Stella Got Her Groove Back,Sometimes you have to break the rules to free your heart.,A love story that will change your life forever.
"Man, Woman and Beast",A Feast For All Of The Senses!,The story of a town where dreams are the only thing that matters.
An Insignificant Harvey,People can only make you feel small if you give them permission.,It's not what you think it is.
Girl in Gold Boots,"The glitz and glamor of being a big time Hollywood Go-Go dancer looked good from a distance, but up-close it was another story...this story",She's the star of the show...
Bodyguards and Assassins,"To save a nations future, they must protect one man from its past.",The story of a man who risked everything to save the world.
The Railway Man,Revenge is never a straight line.,The story of a man who was tortured and killed in the Death Railway.
Coach Carter,It begins on the street. It ends here.,The story of a coach who made the wrong decision and won the right one.
The Thing That Couldn't Die,The grave can't hold it ...nothing human can stop it!,The legend of the devil is alive and well in this town!
The Painting,Break on through to the other side.,The story of a man who made a masterpiece of art and then disappeared.
I'm Not There.,All I Can Do Is Be Me Whoever That Is,The story of a man who changed the face of the music world.
Maximum Overdrive,Stephen King's masterpiece of terror directed by the master himself.,It's not what you think it is.
Sade,He was a man ahead of his time. His ideas on love and sex shocked his generation.,The story of one man's journey from youth to adulthood.
After the Ball,Fairytales are always in fashion,"It's not what you wear, it's what's on your mind."
Ya Sonra?,Külkedisi prens ile evlenir ve masal biter. Peki ya sonra?,This is the story of a young girl who was raped and murdered by a man
Together,Some lessons can only be learned by heart.,The story of one boy's journey to the top of the world.
Rabbit-Proof Fence,"Follow Your Heart, Follow The Fence",The story of three girls who made it to the top of their profession.
House of Horrors,Meet...The CREEPER!,A comedy about a man who can't stand to be alone.
Safety Not Guaranteed,What would you go back for?,Time travel is a thing of the past.
Destination Tokyo,Explosive ! . . . And As Big As The Broad Pacific !,The story of a man who risked everything to save his country.
War and Peace,The Greatest Novel Ever Written ... Now Magnificently Alive On The Screen!,The story of a man who rose to power in the most unexpected way.
The Narrows,"He's got to get out, if he's going to get ahead.",The story of a young man's struggle to find his voice.
Toy Story of Terror!,One toy gets left behind!,It's not just a toy...
For Me and My Gal,She's a Yankee Doodle Girlie !,The story of a man who risked everything to save his country.
The Candidate,Too Handsome. Too Young. Too Liberal. Doesn't have a chance. He's PERFECT!,He's the only one who knows how to win.
My Best Friend's Girl,It's funny what love can make you do...,"It's not what you think it is, it's how you feel."
Lady in a Cage,Do not see,They're coming for you...
Kid Galahad,Presley packs the the screen's biggest wallop...with the gals...with the gloves...with the guitar!,A musical about the life and times of a great American boxer.
The Reluctant Debutante,MGM presents the Comedy-Romance in luscious COLOR!,"A comedy about love, marriage, and love at a time when the world was"
Ninja Assassin,"Fear not the weapon, but the hand that wields it.",He's the only one who can stop the evil that's been waiting for him
"A Man, a Horse, a Gun",Trap him! Tease him! Throw him in a coffin... But don't get the stranger mad!,A comedy about a man who's got everything...
House of Dark Shadows,Come see how the vampires do it,He's a vampire.
HyperNormalisation,Our world is strange and often fake and corrupt. But we think it’s normal because we can’t see anything else. HyperNormalisation - the story of how we got here.,What happens when you can't control your own destiny?
Letters from Iwo Jima,The battle of Iwo Jima seen through the eyes of the Japanese soldiers.,"It was a battle that changed the face of war forever."" -- The New York"
Tall in the Saddle,WAYNE PACKS A WALLOP...In Action...In Love!,The story of a man who risked everything for the right man.
Camp X-Ray,Connection takes courage,The story of a woman who risked everything to serve her country.
Confessions of a Teenage Drama Queen,She's making a scene over everything.,The story of a girl who became a rock star and a woman who lost her
Seedpeople,The root of all evil...,It's not what you think it is...
Hearts and Minds,The Forever War. Goes On,The story of a war that changed the face of our world.
Still Bill,You know the music. Now meet the man.,He was a legend.
Obsession,Hidden LOVE! Hidden HATE! Hidden FEAR!,She's the most beautiful woman in town...and she'll do anything to get
The Reckoning,The truth shall come to light,There is no such thing as a dead man without a soul.
Blind Alley,STAND IN HIS WAY..AND DIE!,"It's not what you think it is, it's how you feel."
Cabin Fever: Patient Zero,The Birth of Fear,There's Something Wrong With The Water Around The Island!
Blended,"Single Dad, No Clue. Single Mum, Flying Solo.","A comedy about love, friendship, and the power of friendship."
The Time Machine,You Will Orbit into the Fantastic Future!,The future is about to collide with the past.
Stranded,Germinate. Contaminate. Annihilate...,It's not just the moon.
True Blue,To be second is to be last.,It was a race that changed the course of history.
The Gambler Returns: The Luck Of The Draw,"Before the wildest poker game in history, the was the wildest adventure in the West.",It's a game of life and death.
Gone in Sixty Seconds,"Ice Cold, Hot Wired.",He's got a lot to learn...
Life as a House,"Seen from a distance, it's perfect.","A comedy about life, love, death and the power of friendship."
"Family Guy Presents: Something, Something, Something, Dark Side","Something, Something, Something, Dark Side",It's not just a movie.
Bad Boys II,"If you can't stand the heat, get out of Miami.",He's a cop.
Unconditional,It's not a dead end if it takes you somewhere you needed to go.,"The story of a mother, a father and a child who will never forget."
CJ7,It's out of this world.,He's got a lot to learn about the world of toys.
The Beach Girls and the Monster,Go! Go! Go! The Coolest Monster Shindig of Chicks and Chills!,It's not just a beach...
The Tiger of Eschnapur,Der deutsche Millionen-Film!,The story of a man who saved the lives of thousands of people.
Reckless Kelly,The incredible untold story of the greatest outlaw of all time.,"If you can't save your family, what do you do?"
One More Time,The hardest act to follow is your father's.,She's got a new lease on life...
The Waiting Room,"One Hospital, Hundreds of stories",It's not just a movie.
One on Top of the Other,"What Is The Most Incredible Thing A Woman Ever Did For $1,000,000?","She's alive, but she's not dead yet."" -- The New York Times"
Wild at Heart,A wild crazy love story.,"A comedy about love, death, and the power of friendship."
The Tunnel,The light runs out,A documentary about the underground tunnels of a city that has never been visited.
Beverly Hills Chihuahua 3 - Viva La Fiesta!,Family Always Matters,She's the best pup in the world.
One Minute Time Machine,It's about him. It's about her. It's about time.,Sometimes it's just a matter of time before he's gone.
Soul Surfer,"When you come back from a loss, beat the odds, and never say never, you find a champion.","When you're young, it's never too late to change."
The Brain,Mind over matter,You can't control your own mind.
Casino Royale,Everyone has a past. Every legend has a beginning.,The most dangerous game of all time.
Lightning Bug,There are monsters standing in his way.,He's a boy who dreams big.
The Naked Street,They live on the main drag of Brooklyn's jungle !,He's a killer.
It Came from Outer Space,Fantastic sights leap out at you!,"It's not just a meteor, it's a life form."
A Good Day to Die Hard,Yippee Ki-Yay Mother Russia,They're the only ones who can stop the nuclear holocaust.
Borderland,The Devil's Playground is Just Around The Corner,It's not just a trip...
Son of Dracula,The First Rock-and-Roll Dracula Movie!,He's the King Of The Monsters...
The Cloth,"The battle for your soul, has begun!",Evil is coming to America
Snow Day,Roads closed. Schools shut. Rules were made to be frozen!,It's not just a snowstorm...
The Green Glove,In This Deadly Game... He Could Lose Only Once!,The story of a man who risked everything to save his country.
Hulchul,It's one crazy love story!,"It's not what you think, it's what happens to you."
Final Fantasy VII: Advent Children,"Is it for the children, for a memory, or for himself?",The battle for the future is about to begin.
Giallo,"To Catch a Killer, You Must Think Like a Killer!",The most dangerous man in the world is about to get his revenge.
Allied,The enemy is listening.,The story of a woman who risked everything to save her country.
The Dark Side of the Sun,They needed a miracle for their love to survive,The story of the man who risked everything to save the world.
Love Me Tonight,Warm Love! Hilarious fun! Sweet music! Hot lyrics!,"He's a man of many disguises, but he's got one thing on"
Legion,Their mission was simple... Kill something that couldn't be killed.,It's not just a movie.
Godzilla,Size does matter.,It's not just a monster.
Filly Brown,This is my life.,The story of a young girl who made it big in the music business.
Rad,A hometown kid on his BMX against the best in the world. At Helltrack... the heat is on.,It's a race to the finish...
Trust Me,He'll make you a star if it kills him.,"It's not what you think it is, it's how you feel."
Edward Scissorhands,His scars run deep.,"It's not science, it's murder."
They Made Me a Criminal,Sensational Human Drama!,He was a boxer.
The Claim,Everything has a price.,The story of a woman who became a legend...and a hero.
Since Otar Left,"For a mother, a sister and a niece, nothing is the same... Since Otar Left",A mother's letter to her son.
Shoot First And Pray You Live,I Am Goin To  Kill You Dead,Revenge is the only weapon that can stop a man from killing.
The Doctor,An Uplifting Story About Finding New Meaning In Life.,"It's not just a question of what you can do, it's also a"
Two Evil Eyes,When I wake you... you'll be dead,The truth is stranger than fiction.
In Old Arizona,The first all-talking sound-on-film feature.,It's a game of cat and mouse...
At the Devil's Door,It's looking for a home.,"It's not what you think it is, it's who you are."
The Boss Baby,Born leader,The story of how Tim came to be Tim's new family.
The Transformers: The Movie,Beyond good. Beyond evil. Beyond your wildest imagination.,"It's not just a battle of the sexes, it's a fight for the"
Miss Congeniality,Never Mess With An Agent In A Dress.,She's the most beautiful girl in the world.
The Power of One,An exhilarating epic of a triumph of the heart.,Fight With Your Fists and Lead With your Heart.
My Sassy Girl,"She's Beautiful, Smart, Funny And Totally Crazy.",The story of a man who made a mistake.
Calcutta,Adventure In The Far East ! Battling Buddies Gunning For Trouble !,"A comedy about love, friendship, and the power of friendship."
A Pistol for Ringo,Quick- Treacherous- And Deadly To Anyone Who Tried To Cross Them!,The story of a man who risked everything to save the world.
No Way Home,Blood ties can be murder.,He's a cop.
Angst,Based on a true story.,She was a killer.
Private Number,Remember Me?,"Some secrets can only be broken by the truth."" [from Wikipedia]"
Gothika,Because someone is dead doesn't mean they're gone.,She's the only one who can't remember the past.
Lady of Vengeance,A shocking woman... a shocker of a story!,The story of one man's search for the perfect murder.
Hugo Pool,A comedy with serious relief,"A story of love, lust, betrayal and the ultimate betrayal."
The Dark Side of The Moon,Beyond Rescue ... Beyond Reason ... Beyond Salvation,There is no such thing as a safe space.
Blockade,Romance under Fire!,The story of a man who risked everything to protect his family.
Lilith,POWERFUL SHOCKER ABOUT LOVE!,"The story of a woman with a secret past, a man who has no past"
The Prey,Prey for the Hunted...,The only way out is to die.
The Lazarus Papers,Who say you only die once?,Love is the most precious commodity in the world.
Carpool,A dad in a hurry. A man on the run. And five kids with an attitude.,It's not just a movie...
The Man Who Copied,"Life is original, everything else is copy",The story of a young man who finds himself in love with the woman he loves
Excess Baggage,"A crash course in kidnappings, car thefts and other rituals of dating.",You can't get out of the car without getting in trouble.
The Omen,It is the greatest mystery of all because no human being will ever solve it.,The story of a child who is born with a devil inside him.
Unexpected,No one is ever really prepared.,"It's not what you think, it's what happens to you."
The League of Gentlemen's Apocalypse,To save their world... They're coming to ours...,There's only one way out of this nightmare.
The Naked Truth,The screamingly funny comedy team!,It's not murder...
Gloria,Gloria. Big mouth. Big attitude. But who knew she had a big heart.,"A comedy about life, love, and the power of friendship."
The Brotherhood of Justice,They were the best kids in the neighborhood ... until they decided it was time to fight back.,"It's not what you think, it's who you are."
Shangri-La Suite,Meet Karen Bird and Jack Blueblood. Lovers. Dreamers. Serial Killers.,The story of a man who made it his mission to kill Elvis.
Ice Age: A Mammoth Christmas,Why am I on Santa's naughty list? Why? Why?,It's not just a holiday.
TRON: Legacy,The Game Has Changed.,The world is about to get a little crazy.
She's Gotta Have It,A Seriously Sexy Comedy,"A story about love, sex, and the power of sex."
Kill for Me,What wouldn't you do for your roommate?,"A comedy about love, revenge, and revenge on the man who stalked her"
Monster,The first female serial killer of America,The story of a woman who killed her way to the top.
Pigsty,"I killed my father, I ate human flesh, and I quiver with joy.","A story of love, death, and the end of the world."
The Portrait of a Lady,Based on the Novel by Henry James.,She's not afraid of money.
The Hunger Games: Mockingjay - Part 1,Fire burns brighter in the darkness,She's the only one who can save the world from destruction.
Scary or Die,Whats so ##%&@# funny ?,It's not what you think it is.
Calvary,Killing a priest on a Sunday. That'll be a good one.,"He's a priest, but he's also a killer."
The Dentist,It's been six months. Time for your check-up!,"It's not what you eat, it's what happens to you."
The Butler,One quiet voice can ignite a revolution.,The story of a man who changed the face of American politics forever.
The First Texan,HE LEFT HIS MARK ACROSS THE WEST'S THOUSAND TOUGHEST MILES,The story of a man who defied the odds and became a legend.
Turbo: A Power Rangers Movie,The Power Is Back!,Power is the only weapon that can save the world.
Fender Bender,A Crash Course in Terror,"It's not what you think it is, it's who you are."
A Soldier's Daughter Never Cries,The city of lights. A famous American author and the decade that changed a generation...forever.,"A story about love, sex, drugs, love and sex."
Broadway Melody of 1938,So New It's A Year Ahead!,"The story of a man who trains horses, trains women, and trains men."
The Haunted Palace,A warlock's home is his castle...Forever!,The story of a man who fought to save the world from the evil that was
Pillow Talk,Footloose bachelor...beautiful career girl...and the world's most fascinating pastime!,"It's not what you think it is, it's how you feel."
8 X 10 Tasveer,8x10 Tasveer,"A story of love, loss and redemption."
Rude Awakening,They came back after 20 years to find nobody wants to save the world-- They just want to buy it.,The story of two men who risked everything to find the truth.
The First Deadly Sin,He's searching for a killer. She's searching for a miracle .... And time is running out.,"It's not murder, it's murder."
The Tingler,Ghastly Beyond Belief!,Fear is the most powerful weapon in the hands of a predator.
No Problem,Some crimes are just funny!,The story of two brothers.
The Great Bank Hoax,"God Bless America. But grab what you can, just in case.",It's not just a bank robbery...
Blood for Dracula,He couldn't live without a virgin's blood..... ...So a virgin had to die!,The Count of Dracula is back...
Zandalee,One woman... two men... one driven by desire. The other driven to the edge.,"A comedy about love, sex, and love at the same time."
Desperate Journey,"Man alive, Just picture this excitement!",The only thing more dangerous than a plane crash is a bomb.
The Decoy Bride,You may now kiss the decoy.,It's not just a movie.
Killer Party,"By the end of the dance, some of the sorority sisters were dead on their feet.","It's not just a party, it's a killing spree."
"Jails, Hospitals & Hip-Hop",three worlds / two million voices / one generation,The story of one man's journey into the world of hip hop.
