Title,Genre,Original,Generated
The Usual Suspects,"['drama', 'crime', 'thriller']",Five Criminals. One Line Up. No Coincidence.,"This is the story of a young man who has lost his father, his mother, and his best friend in a tragic accident."
Guardian Angel,"['action', 'thriller', 'drama']",She's no angel of mercy.,"It's not about the money, it's about what you do with it."
The Big Green,"['action', 'adventure', 'comedy', 'family']",The biggest kick of the year!,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer."
Georgia,['drama'],The toughest act to follow was their dreams.,"If you're going to have a good time, don't be afraid to go out on a limb and do what you can to make the world a better"
Home for the Holidays,"['comedy', 'drama', 'romance']",We'll do it every year..until we get it right,"If you're going to make it to the end of the world, you've got to do it right."
Eye for an Eye,"['drama', 'thriller']",What do you do when justice fails?,It's time to get back on the road to recovery.A group of young men and women embark on a quest to find a cure for a mysterious disease that
Mr. Holland's Opus,"['music', 'drama', 'family']","Of All the Lives He Changed, the One That Changed the Most Was His Own.","It's not about me, it's about you."
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['comedy'],"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",When Ashtray (Shawn Wayans) moves to South Central L.A.
Two If by Sea,"['comedy', 'romance']","A new comedy about love, laughter, and larceny",This is the story of a young man who goes on a quest to find his way back to his hometown and finds himself in the middle of an epic battle with
Bio-Dome,['comedy'],Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,This is the story of a group of scientists who are trying to save the world from an alien invasion.
Lawnmower Man 2: Beyond Cyberspace,"['action', 'science fiction']","God made him simple. Science made him a god. Now, he wants revenge.","Jobe is a hacker who wants to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use"
Two Bits,"['drama', 'family']",You're never too old to believe in a dream. Or too young to make one come true!,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa"
Friday,['comedy'],A lot can go down between thursday and saturday...,"I don't know what to do, but I do know that I'm going to have to find a way to get out of here."
From Dusk Till Dawn,"['horror', 'action', 'thriller', 'crime']",One night is all that stands between them and freedom. But it's going to be a hell of a night.,"It's not about the money, it's about what you do with it."
Fair Game,"['action', 'thriller', 'romance']",He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,"If you're going to be a good cop, you have to do it in a way that makes sense."
Kicking and Screaming,"['comedy', 'drama', 'romance']",Anxiety loves company.,"I don't know what to do with my life, but I do know that I'm going to have to work hard to get to where I want to"
Les Miserables,"['drama', 'history']","In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.","It's not just a book, it's a life."
Bed of Roses,"['drama', 'romance']",He gave her flowers. She gave him a chance.,This is the story of a young girl who finds herself in the middle of an intense love affair with a man who is obsessed with her.
Big Bully,"['comedy', 'family']",A comedy for the kid in all of us.,"This is the story of a young man who is forced to live in a world where he has no choice but to choose between his family, his friends, and"
Screamers,"['horror', 'science fiction']",The last scream you hear will be your own.,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a"
The Crossing Guard,"['drama', 'thriller']","...some lives cross, others collide.",This is the story of a young man who is trying to make a name for himself in the world of video games.
The Juror,"['drama', 'thriller']",There is no defense.,"I don't know what to do with my life, but I do know that I'm going to have to live with it for the rest of my days"
Things to Do in Denver When You're Dead,"['drama', 'crime']",Protect. Love. Honor. Avenge.,The Man with the Plan is a film about a man who decides to take on a life of his own in order to save the world.
Antonia's Line,"['drama', 'comedy']",A motion picture that celebrates everything you love about life.,"This is the story of a young girl who goes on a quest to find her way back to her home town, where she meets her future husband, who is"
Angels and Insects,"['drama', 'romance']",An elegant seduction. An erotic deception. A stunning revelation.,"This is the first in a series of short films about the life and work of a young man who has lost his wife, his children, and his family."
Dunston Checks In,"['adventure', 'comedy', 'family']",He's about to turn a Five Star Hotel into a three ring circus.,This is the story of a group of young men who go on a mission to save the world from the evil forces of evil.
Black Sheep,['comedy'],There's one in every family.,"I don't know what to do with my life, but I do know that I'm not going to be able to live without my family, and I"
Mary Reilly,"['drama', 'horror', 'thriller', 'romance']",The untold story of Jekyll and Hyde,A young girl is kidnapped by a gang of gangsters.
Vampire in Brooklyn,"['comedy', 'horror', 'romance']",A comic tale of horror and seduction.,"If you want to be a vampire, you have to live past the next full moon."
Beautiful Girls,"['comedy', 'drama', 'romance']","Good times never seemed so good,","I don't know what I'm going to do with my life, but I do know that I want to be a good person, and that's what"
Broken Arrow,"['action', 'adventure', 'drama', 'thriller']",Prepare to Go Ballistic.,"If you want to be a hero, you have to fight for it."
A Midwinter's Tale,['comedy'],The drama. The passion. The intrigue... And the rehearsals haven't even started.,"In the midst of a war, a group of young men from a small town decide to join forces to fight against the forces of the enemy."
La Haine,['drama'],Three Young Friends... One Last Chance.,It's time to get out of the ghetto.
Shopping,"['action', 'adventure', 'drama', 'science fiction', 'thriller']",No one leaves without paying...,"A dark, hip, urban story of a barren and anonymous city where the underclass' sport of choice is ram-raiding."
City Hall,"['drama', 'thriller']",It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,"It's not about the money, it's about what happens to the people who live in it.A young girl is kidnapped by a gang of gangsters"
Bottle Rocket,"['comedy', 'crime', 'drama']","They're not really criminals, but everyone's got to have a dream.","This is the story of a young man who, after his father's death, decided to take his own life to save his mother's life."
Unforgettable,"['drama', 'mystery', 'science fiction', 'thriller']",He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,"It's not about the money, it's about finding the truth."
Happy Gilmore,['comedy'],He doesn't play golf... he destroys it.,"It's not about the money, it's about what you do with it."
The Bridges of Madison County,"['drama', 'romance']",The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,This is the story of a young girl who has been missing for four days.
Muppet Treasure Island,"['action', 'comedy', 'music', 'family', 'adventure']",Set sail for Muppet mayhem!,"This is the story of Jim Hawkins, a young man who has lost his father, his mother, and his best friend."
Catwalk,['documentary'],"The moment when fashion, art and entertainment come together with stunning force and beauty.","I'm a model, but I'm not a fashion model."
Braveheart,"['action', 'drama', 'history', 'war']",Every man dies. Not every man truly lives.,"It's not about the money, it's about what you do with it."
Taxi Driver,"['crime', 'drama']","On every street in every city, there's a nobody who dreams of being a somebody.","This is the story of a young man who, in a desperate attempt to save his own life, falls in love with a woman who is his best friend."
Rumble in the Bronx,"['crime', 'action', 'comedy', 'thriller']",No Fear. No Stuntman. No Equal.,"If you're going to do something, you gotta do it right."
Before and After,"['drama', 'thriller']",A murder. A suspect. A shadow of a doubt.,"It's not about the money, it's about love."
Margaret's Museum,['drama'],She found a way to preserve her memories forever.,"In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single in her small Cape Breton island town."
Anne Frank Remembered,"['documentary', 'drama', 'foreign']","She is perhaps Hitler's best known victim, but what was Anne Frank really like?",It's time for a new generation of filmmakers to step up to the plate and make a difference in the lives of those who have lost their lives.
If Lucy Fell,"['comedy', 'romance']",A comedy for the romantically challenged.,"If you're going to be a good person, you have to do it in a way that makes you feel good about yourself."
Steal Big Steal Little,"['comedy', 'drama']",Two brothers. One fortune. Zero chance they'll share it.,This is the story of a young man who goes on a quest to find the truth about his father's death.
Race the Sun,"['action', 'adventure', 'comedy', 'drama', 'family']",A dream can make all the difference under the sun.,"A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car"
Boomerang,"['comedy', 'romance']",A Player Who's About to be Played.,"It's not about the money, it's about how much money you have."
Chungking Express,"['drama', 'comedy', 'romance']",What a difference a day makes,"If you're going to be a good person, you have to do what's right for you."
The Star Maker,"['drama', 'romance']","In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true...",This is the story of a photographer who travels through the small villages of Sicily pretending that he is working for the big film studios in Rome.
Flirting with Disaster,"['comedy', 'romance']","A comedy about sex, love, family and other accidents waiting to happen.","This is the story of a young man who is forced to make a choice between his life and his family's lives, and the fate of his entire family."
The Neverending Story III: Escape from Fantasia,['fantasy'],It's a brand new beginning in the adventure that never ends,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.A young
Pie in the Sky,"['comedy', 'romance']",The only thing that stands in the way of fate and true love is a little traffic.,Pie in the Sky is a 1996 American romantic comedy film about a young man obsessed with traffic gridlock who falls in love with an avant-garde dancer
Frankie Starlight,"['drama', 'romance', 'war']",Sometimes the brightest star is the one that shines within.,The story of a young boy's adventures growing up with his stunningly beautiful mother and the two very different men who love her.
Jade,"['action', 'thriller', 'mystery', 'romance']",Some fantasies go too far.,This is the story of a young man who gets caught up in a love triangle with a woman who is a prostitute.
Down Periscope,['comedy'],"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up.","This is the story of a young man who, in a desperate attempt to save his father's life, falls in love with a woman who is his best friend"
Man of the Year,['comedy'],He as a centerfold who revealed everything ... but the truth.,This is the story of a young man who is forced to choose between his sexuality and his family's love for him.
