Original,Generated
One night is all that stands between them and freedom. But it's going to be a hell of a night.,"Two brothers trying to escape the underworld... and a night of crime and greed!"""
He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,"She's not just a cop. She's also a killer."""
Anxiety loves company.,"Sometimes you have to move on."""
"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.","The Story of an American and French Citizen in the French Revolution."""
He gave her flowers. She gave him a chance.,"When Love is the Answer."""
A comedy for the kid in all of us.,"The nightmare has been released."""
The last scream you hear will be your own.,"Fear no more"""
"...some lives cross, others collide.",It's not easy finding love. It's very hard trying to find a balance
There is no defense.,"For two kids living in the shadow of a crime lord, the perfect day can"
Protect. Love. Honor. Avenge.,"From a legend is born"""
A motion picture that celebrates everything you love about life.,"For years, an unlikely love story has eluded our world. But now the"
An elegant seduction. An erotic deception. A stunning revelation.,"A darkly comic tale about the soul-sucking truth of man"""
He's about to turn a Five Star Hotel into a three ring circus.,"An Adventure on the Screen With A New Family!"""
There's one in every family.,"When the day comes for another chance at the Presidency, what do you make of"
The untold story of Jekyll and Hyde,He's in love with one man... He's a monster... and he's
A comic tale of horror and seduction.,"She's on the hunt, and she can't wait."""
"Good times never seemed so good,","If you have a problem, it's your problem."""
Prepare to Go Ballistic.,"They say 'fly above the radar'"""
The drama. The passion. The intrigue... And the rehearsals haven't even started.,"The story of a young man on a mission to save his family, the town"
Three Young Friends... One Last Chance.,"What could go wrong in this world?"""
No one leaves without paying...,"He doesn't give a flying fig!"""
It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,What he didn't do was get shot. What he did get caught is out
"They're not really criminals, but everyone's got to have a dream.","This guy's in on everything."""
He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,"Based on real events."""
He doesn't play golf... he destroys it.,"The Ultimate Fighting Game"""
The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,"For Robert Kincaid, life was a struggle, not a journey."""
Set sail for Muppet mayhem!,"They thought they had a future."""
"The moment when fashion, art and entertainment come together with stunning force and beauty.","A film about how to dress the right way."""
Every man dies. Not every man truly lives.,"His first battle. His last."""
"On every street in every city, there's a nobody who dreams of being a somebody.","He came out of the closet...and found what's left of a woman."""
No Fear. No Stuntman. No Equal.,"They're all in for the adventure... in this hilarious comedy."""
A murder. A suspect. A shadow of a doubt.,"Don't take anyone, especially a little boy."""
She found a way to preserve her memories forever.,"The world's only female prison guards are all on board!"""
"She is perhaps Hitler's best known victim, but what was Anne Frank really like?","The incredible story of this amazing family."""
A comedy for the romantically challenged.,"Two worlds collide."""
Two brothers. One fortune. Zero chance they'll share it.,"This is not your typical Hollywood movie."""
A dream can make all the difference under the sun.,"You don't always get the girl you want."""
A Player Who's About to be Played.,"From the depths of a dark mystery comes this extraordinary gift"""
What a difference a day makes,"Love can't be controlled. Life can."""
"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true...","Real Madrid's funniest and most memorable spectacle!"""
"A comedy about sex, love, family and other accidents waiting to happen.","Based on true events. Told with a twist."""
It's a brand new beginning in the adventure that never ends,"A boy will find a magical book, but he's not alone."""
A Haunting Real Life Mystery,"Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park"
The only thing that stands in the way of fate and true love is a little traffic.,It's been a year in the life of Roger Corman... and it's
Sometimes the brightest star is the one that shines within.,"If you don't have a mother, you don't belong... You're already"
Some fantasies go too far.,"They hit her at home with a bullet... or something else..."""
"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up.","Tom Dodge sucks it up!"""
