Title,Genre,Original,Generated
Dangerous Minds,"['drama', 'crime']",She broke the rules... and changed their lives.,It's time for a change.
Twelve Monkeys,"['science fiction', 'thriller', 'mystery']",The future is history.,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the"
Babe,"['fantasy', 'drama', 'comedy', 'family']",A little pig goes a long way.,Babe is a little pig who doesn't quite know his place in the world.
Carrington,"['history', 'drama', 'romance']",A Love so Unusual it has to be True,The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside.
It Takes Two,"['comedy', 'family', 'romance']",Two identical strangers. Two different worlds. One perfect match.,A young couple from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between A
Clueless,"['comedy', 'drama', 'romance']",Sex. Clothes. Popularity. Is there a problem here?,Cher and Tai are in love.
Richard III,"['drama', 'war']","I can smile, and murder while I smile",Shakespeare's play is about a young man who finds himself in the middle of a war between his father and his mother.
Dead Presidents,"['action', 'crime', 'drama', 'history']","In this daring heist, the only color that counts is green",It's time for a change.
Mortal Kombat,"['action', 'fantasy']",Nothing In This World Has Prepared You For This.,This is the story of one of the greatest heroes of all time.
To Die For,"['fantasy', 'drama', 'comedy', 'thriller']",All she wanted was a little attention.,This is the story of a young woman who is forced to make a choice between her life and her husband's life.
How To Make An American Quilt,"['drama', 'romance']",There's beauty in the patterns of life.,"Finn and Glady Joe are a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by"
Se7en,"['crime', 'mystery', 'thriller']",Seven deadly sins. Seven ways to die.,This is the story of a young woman who is haunted by her past.
Pocahontas,"['adventure', 'animation', 'drama', 'family']",An American legend comes to life.,Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior.
The Usual Suspects,"['drama', 'crime', 'thriller']",Five Criminals. One Line Up. No Coincidence.,"Verbal Kint is a serial killer, but he's not the only one."
Guardian Angel,"['action', 'thriller', 'drama']",She's no angel of mercy.,It's time to go home.
The Big Green,"['action', 'adventure', 'comedy', 'family']",The biggest kick of the year!,Anna and her football-hero assistant help kids build their self-esteem and also get involved in solving family squabbles.
Georgia,['drama'],The toughest act to follow was their dreams.,Sadie and Georgia can't wait to start their lives together and live happily ever after.
Home for the Holidays,"['comedy', 'drama', 'romance']",We'll do it every year..until we get it right,It's Christmas Eve.
Eye for an Eye,"['drama', 'thriller']",What do you do when justice fails?,It's the end of the world.
Mr. Holland's Opus,"['music', 'drama', 'family']","Of All the Lives He Changed, the One That Changed the Most Was His Own.",He'll be back.
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['comedy'],"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",He'll be back.
Two If by Sea,"['comedy', 'romance']","A new comedy about love, laughter, and larceny",It's time to get back to work.
Bio-Dome,['comedy'],Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,Bud and Doyle are two losers who are doing nothing with their lives.
Lawnmower Man 2: Beyond Cyberspace,"['action', 'science fiction']","God made him simple. Science made him a god. Now, he wants revenge.",Jobe is back.
Two Bits,"['drama', 'family']",You're never too old to believe in a dream. Or too young to make one come true!,Gennaro and his grandpa are in love.
Friday,['comedy'],A lot can go down between thursday and saturday...,It's time to get out of the house.
From Dusk Till Dawn,"['horror', 'action', 'thriller', 'crime']",One night is all that stands between them and freedom. But it's going to be a hell of a night.,This is the story of a group of young men who find themselves on the wrong side of the law when they are caught in the crossfire of an armed robbery
Fair Game,"['action', 'thriller', 'romance']",He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her."
Kicking and Screaming,"['comedy', 'drama', 'romance']",Anxiety loves company.,"Grover's girlfriend Jane tells him she's moving in with several friends, all of whom can't quite work up the inertia to escape their university's pull."
Les Miserables,"['drama', 'history']","In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.",He'll be back.
Bed of Roses,"['drama', 'romance']",He gave her flowers. She gave him a chance.,It's all about the flowers.
Big Bully,"['comedy', 'family']",A comedy for the kid in all of us.,He'll be back.
Screamers,"['horror', 'science fiction']",The last scream you hear will be your own.,This is the story of a young girl who has been kidnapped by a group of aliens who are trying to take her back to her home planet.
The Crossing Guard,"['drama', 'thriller']","...some lives cross, others collide.","Freddy Gale is back, and hes ready to take on Booth."
The Juror,"['drama', 'thriller']",There is no defense.,It's time to go home.
Things to Do in Denver When You're Dead,"['drama', 'crime']",Protect. Love. Honor. Avenge.,The man with the plans The Saint gangster career has finally ended.
Antonia's Line,"['drama', 'comedy']",A motion picture that celebrates everything you love about life.,"Antonia and her daughter, Danielle, go back to their Dutch hometown, where her late mother has bestowed a small farm upon her."
Angels and Insects,"['drama', 'romance']",An elegant seduction. An erotic deception. A stunning revelation.,It's time to go home.
Dunston Checks In,"['adventure', 'comedy', 'family']",He's about to turn a Five Star Hotel into a three ring circus.,This is the story of a small town in the middle of nowhere.
Black Sheep,['comedy'],There's one in every family.,It's time to go home.
Mary Reilly,"['drama', 'horror', 'thriller', 'romance']",The untold story of Jekyll and Hyde,Dr.
Vampire in Brooklyn,"['comedy', 'horror', 'romance']",A comic tale of horror and seduction.,"Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search for a way to live past the next full moon."
Beautiful Girls,"['comedy', 'drama', 'romance']","Good times never seemed so good,",It's time to go back in time.
Broken Arrow,"['action', 'adventure', 'drama', 'thriller']",Prepare to Go Ballistic.,"In the midst of the Cold War, the U.S."
A Midwinter's Tale,['comedy'],The drama. The passion. The intrigue... And the rehearsals haven't even started.,It's Christmas time.
La Haine,['drama'],Three Young Friends... One Last Chance.,It's time to go home.
Shopping,"['action', 'adventure', 'drama', 'science fiction', 'thriller']",No one leaves without paying...,It's time to go home.
City Hall,"['drama', 'thriller']",It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,He'll be back.
Bottle Rocket,"['comedy', 'crime', 'drama']","They're not really criminals, but everyone's got to have a dream.",Anthony and Dignan are on a mission to find a way to save their former boss.
Unforgettable,"['drama', 'mystery', 'science fiction', 'thriller']",He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,This is the story of a young girl who has lost her father and is trying to figure out what happened to her mother.
Happy Gilmore,['comedy'],He doesn't play golf... he destroys it.,He'll be back.
The Bridges of Madison County,"['drama', 'romance']",The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,"Kincaid is an artist, in Vichy after separating from his Parisian wife."
Muppet Treasure Island,"['action', 'comedy', 'music', 'family', 'adventure']",Set sail for Muppet mayhem!,Jim and his friends must find a way to save the town from the pirates.
Catwalk,['documentary'],"The moment when fashion, art and entertainment come together with stunning force and beauty.",It's time for a change.
Braveheart,"['action', 'drama', 'history', 'war']",Every man dies. Not every man truly lives.,It's the end of the world.
Taxi Driver,"['crime', 'drama']","On every street in every city, there's a nobody who dreams of being a somebody.",He'll be back.
Rumble in the Bronx,"['crime', 'action', 'comedy', 'thriller']",No Fear. No Stuntman. No Equal.,"Keong is a good guy, but he's a bad guy."
Before and After,"['drama', 'thriller']",A murder. A suspect. A shadow of a doubt.,He'll be back.
Margaret's Museum,['drama'],She found a way to preserve her memories forever.,Margaret MacNeil is an ambitious and stubborn middle-class English woman determined to move forward since her childhood.
Anne Frank Remembered,"['documentary', 'drama', 'foreign']","She is perhaps Hitler's best known victim, but what was Anne Frank really like?",The story of Gerda Weissmann Klein and her journey of survival and remembering both before and after the war.
If Lucy Fell,"['comedy', 'romance']",A comedy for the romantically challenged.,Joe and Lucy are roommates and best friends.
Steal Big Steal Little,"['comedy', 'drama']",Two brothers. One fortune. Zero chance they'll share it.,", who is trying to get Mona's money back, but Ruben is determined to stop him."
Race the Sun,"['action', 'adventure', 'comedy', 'drama', 'family']",A dream can make all the difference under the sun.,"A group of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car"
Boomerang,"['comedy', 'romance']",A Player Who's About to be Played.,He'll be back.
Chungking Express,"['drama', 'comedy', 'romance']",What a difference a day makes,He'll be back.
The Star Maker,"['drama', 'romance']","In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true...",He'll be back.
Flirting with Disaster,"['comedy', 'romance']","A comedy about sex, love, family and other accidents waiting to happen.","Mel Colpin and Nancy Arquette are on a road trip that quickly devolves into a farce of mistaken identities, wrong turns, and overzealous"
The Neverending Story III: Escape from Fantasia,['fantasy'],It's a brand new beginning in the adventure that never ends,He'll be back.
Pie in the Sky,"['comedy', 'romance']",The only thing that stands in the way of fate and true love is a little traffic.,Pie in the Sky is a 1996 American romantic comedy film about a young man obsessed with traffic gridlock who falls in love with an avant-garde dancer
Frankie Starlight,"['drama', 'romance', 'war']",Sometimes the brightest star is the one that shines within.,He'll be back.
Jade,"['action', 'thriller', 'mystery', 'romance']",Some fantasies go too far.,It's time for a change.
Down Periscope,['comedy'],"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up.","The Stingray is to be the enemy flagship in the upcoming war games … and to make matters even worse, Dodge's crew is a band of idiots even more"
Man of the Year,['comedy'],He as a centerfold who revealed everything ... but the truth.,"This is the story of a young man who finds himself in the midst of an affair with his best friend, who is also a gay man."
